"Date_calls,""calls"""
"1/28/2019,""1730"""
"1/29/2019,""1486"""
"1/30/2019,""1544"""
"1/31/2019,""1563"""
"2/1/2019,""1768"""
"2/2/2019,""1100"""
"2/3/2019,""676"""
"2/4/2019,""1809"""
"2/5/2019,""1659"""
"2/6/2019,""1624"""
"2/7/2019,""1860"""
"2/8/2019,""1645"""
"2/9/2019,""1208"""
"2/10/2019,""816"""
"2/11/2019,""1957"""
"2/12/2019,""1977"""
"2/13/2019,""2101"""
"2/14/2019,""1902"""
"2/15/2019,""1659"""
"2/16/2019,""1133"""
"2/17/2019,""647"""
"2/18/2019,""1706"""
"2/19/2019,""1629"""
"2/20/2019,""1719"""
"2/21/2019,""1644"""
"2/22/2019,""1499"""
"2/23/2019,""996"""
"2/24/2019,""603"""
"2/25/2019,""1646"""
"2/26/2019,""1512"""
"2/27/2019,""1558"""
"2/28/2019,""1661"""
"3/1/2019,""1660"""
"3/2/2019,""1094"""
"3/3/2019,""695"""
"3/4/2019,""1987"""
"3/5/2019,""2034"""
"3/6/2019,""2291"""
"3/7/2019,""2238"""
"3/8/2019,""1045"""
"3/9/2019,""868"""
"3/10/2019,""532"""
"3/11/2019,""1667"""
"3/12/2019,""1572"""
"3/13/2019,""1664"""
"3/14/2019,""1603"""
"3/15/2019,""1549"""
"3/16/2019,""1054"""
"3/17/2019,""647"""
"3/18/2019,""1507"""
"3/19/2019,""1465"""
"3/20/2019,""1438"""
"3/21/2019,""1332"""
"3/22/2019,""1353"""
"3/23/2019,""926"""
"3/24/2019,""581"""
"3/25/2019,""1484"""
"3/26/2019,""1320"""
"3/27/2019,""1397"""
"3/28/2019,""1536"""
"3/29/2019,""1436"""
"3/30/2019,""890"""
"3/31/2019,""493"""
"4/1/2019,""1426"""
"4/2/2019,""1430"""
"4/3/2019,""1368"""
"4/4/2019,""1472"""
"4/5/2019,""1433"""
"4/6/2019,""908"""
"4/7/2019,""629"""
"4/8/2019,""1631"""
"4/9/2019,""1517"""
"4/10/2019,""1531"""
"4/11/2019,""1502"""
"4/12/2019,""1451"""
"4/13/2019,""948"""
"4/14/2019,""588"""
"4/15/2019,""1702"""
"4/16/2019,""1902"""
"4/17/2019,""1738"""
"4/18/2019,""1712"""
"4/19/2019,""1500"""
"4/20/2019,""858"""
"4/21/2019,""497"""
"4/22/2019,""1655"""
"4/23/2019,""1560"""
"4/24/2019,""1571"""
"4/25/2019,""1575"""
"4/26/2019,""1515"""
"4/27/2019,""778"""
"4/28/2019,""128"""
"4/29/2019,""668"""
"4/30/2019,""1046"""
"5/1/2019,""721"""
"5/2/2019,""1865"""
"5/3/2019,""1476"""
"5/4/2019,""946"""
"5/5/2019,""472"""
"5/6/2019,""1490"""
"5/7/2019,""1572"""
"5/8/2019,""1525"""
"5/9/2019,""874"""
"5/10/2019,""1541"""
"5/11/2019,""1063"""
"5/12/2019,""548"""
"5/13/2019,""1609"""
"5/14/2019,""1643"""
"5/15/2019,""1637"""
"5/16/2019,""1603"""
"5/17/2019,""1508"""
"5/18/2019,""867"""
"5/19/2019,""488"""
"5/20/2019,""1568"""
"5/21/2019,""1465"""
"5/22/2019,""1515"""
"5/23/2019,""1632"""
"5/24/2019,""1572"""
"5/25/2019,""879"""
"5/26/2019,""506"""
"5/27/2019,""1591"""
"5/28/2019,""1576"""
"5/29/2019,""1520"""
"5/30/2019,""1516"""
"5/31/2019,""1380"""
"6/1/2019,""817"""
"6/2/2019,""531"""
"6/3/2019,""1675"""
"6/4/2019,""1699"""
"6/5/2019,""1782"""
"6/6/2019,""1774"""
"6/7/2019,""1626"""
"6/8/2019,""954"""
"6/9/2019,""554"""
"6/10/2019,""2041"""
"6/11/2019,""1861"""
"6/12/2019,""1951"""
"6/13/2019,""1972"""
"6/14/2019,""1721"""
"6/15/2019,""1227"""
"6/16/2019,""516"""
"6/17/2019,""962"""
"6/18/2019,""2044"""
"6/19/2019,""1973"""
"6/20/2019,""1785"""
"6/21/2019,""1570"""
"6/22/2019,""891"""
"6/23/2019,""553"""
"6/24/2019,""1927"""
"6/25/2019,""1615"""
"6/26/2019,""1697"""
"6/27/2019,""1549"""
"6/28/2019,""889"""
"6/29/2019,""613"""
"6/30/2019,""441"""
"7/1/2019,""1611"""
"7/2/2019,""1846"""
"7/3/2019,""1702"""
"7/4/2019,""1611"""
"7/5/2019,""1622"""
"7/6/2019,""733"""
"7/7/2019,""416"""
"7/8/2019,""1713"""
"7/9/2019,""1616"""
"7/10/2019,""1610"""
"7/11/2019,""1613"""
"7/12/2019,""1482"""
"7/13/2019,""710"""
"7/14/2019,""413"""
"7/15/2019,""1680"""
"7/16/2019,""1683"""
"7/17/2019,""1642"""
"7/18/2019,""1704"""
"7/19/2019,""1497"""
"7/20/2019,""761"""
"7/21/2019,""428"""
"7/22/2019,""1977"""
"7/23/2019,""1584"""
"7/24/2019,""1768"""
"7/25/2019,""1514"""
"7/26/2019,""1473"""
"7/27/2019,""678"""
"7/28/2019,""386"""
"7/29/2019,""1587"""
"7/30/2019,""1526"""
"7/31/2019,""1775"""
"8/1/2019,""1930"""
"8/2/2019,""1495"""
"8/3/2019,""836"""
"8/4/2019,""492"""
"8/5/2019,""1836"""
"8/6/2019,""1894"""
"8/7/2019,""1872"""
"8/8/2019,""1948"""
"8/9/2019,""1964"""
"8/10/2019,""1079"""
"8/11/2019,""588"""
"8/12/2019,""2102"""
"8/13/2019,""2049"""
"8/14/2019,""1797"""
"8/15/2019,""1750"""
"8/16/2019,""1706"""
"8/17/2019,""840"""
"8/18/2019,""457"""
"8/19/2019,""1787"""
"8/20/2019,""1645"""
"8/21/2019,""1809"""
"8/22/2019,""1658"""
